fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-08-16,741,216,620,175,0.291497975708502,0.28225806451612906
2020-08-17,3584,1164,3075,987,0.3247767857142857,0.32097560975609757
2020-08-18,3909,1353,3452,1194,0.3461243284727552,0.3458864426419467
2020-08-19,4008,1262,3534,1119,0.3148702594810379,0.3166383701188455
2020-08-20,3229,957,2782,832,0.2963765871786931,0.29906542056074764
2020-08-21,4050,1228,3519,1053,0.30320987654320986,0.29923273657289
2020-08-22,1473,432,1276,385,0.29327902240325865,0.3017241379310345
2020-08-23,737,255,615,217,0.34599728629579374,0.35284552845528455
2020-08-24,3940,1370,3274,1132,0.3477157360406091,0.34575442883323154
2020-08-25,3644,1321,2981,1065,0.36251372118551045,0.3572626635357263
2020-08-26,5137,1631,4551,1444,0.3175004866653689,0.3172929026587563
2020-08-27,5143,1444,4530,1253,0.2807699786117052,0.27660044150110374
2020-08-28,5197,1384,4585,1212,0.26630748508755053,0.264340239912759
2020-08-29,2111,542,1826,483,0.2567503552818569,0.26451259583789705
2020-08-30,920,279,721,240,0.3032608695652174,0.332871012482663
2020-08-31,4157,1386,3475,1105,0.33341351936492664,0.31798561151079136
2020-09-01,5165,1774,4560,1530,0.34346563407550823,0.3355263157894737
2020-09-02,5373,1759,4705,1508,0.3273776288851666,0.32051009564293303
2020-09-03,5520,1544,4759,1323,0.2797101449275362,0.27799957974364364
2020-09-04,5319,1479,4697,1266,0.27805978567399886,0.269533744943581
2020-09-05,2000,549,1739,466,0.2745,0.2679700977573318
2020-09-06,1145,335,952,285,0.2925764192139738,0.29936974789915966
2020-09-07,4018,1251,3381,1038,0.3113489298158288,0.3070097604259095
2020-09-08,4997,1621,4384,1411,0.32439463678206926,0.3218521897810219
2020-09-09,5106,1450,4451,1272,0.2839796318057188,0.28577847674679846
2020-09-10,5514,1381,4804,1206,0.2504533913674284,0.25104079933388845
2020-09-11,4918,1274,4357,1135,0.2590483936559577,0.26050034427358276
2020-09-12,2125,674,1899,609,0.3171764705882353,0.320695102685624
2020-09-13,706,232,575,194,0.3286118980169972,0.3373913043478261
2020-09-14,4184,1254,3536,1041,0.2997131931166348,0.2944004524886878
2020-09-15,3169,941,2720,810,0.2969390975071,0.2977941176470588
2020-09-16,578,194,479,161,0.3356401384083045,0.33611691022964507
2020-09-17,4446,1496,3827,1279,0.33648223121907334,0.33420433760125423
2020-09-18,4536,1380,3970,1203,0.30423280423280424,0.3030226700251889
2020-09-19,1913,614,1672,552,0.32096184004181916,0.33014354066985646
2020-09-20,795,285,657,243,0.3584905660377358,0.3698630136986301
2020-09-21,3604,1197,3097,1017,0.3321309655937847,0.3283823054568938
2020-09-22,4575,1447,3996,1287,0.3162841530054645,0.32207207207207206
2020-09-23,4404,1420,3781,1216,0.3224341507720254,0.32160804020100503
2020-09-24,4223,1264,3722,1111,0.2993132843949799,0.2984954325631381
2020-09-25,4381,1298,3758,1134,0.2962793882675188,0.30175625332623734
2020-09-26,2102,703,1847,618,0.33444338725023787,0.3345966432051976
2020-09-27,860,295,706,261,0.3430232558139535,0.3696883852691218
2020-09-28,4304,1408,3669,1195,0.3271375464684015,0.32570182611065684
2020-09-29,4446,1417,3868,1268,0.31871345029239767,0.327817993795243
2020-09-30,4367,1356,3782,1209,0.3105106480421342,0.319672131147541
2020-10-01,3990,1292,3497,1147,0.3238095238095238,0.3279954246496997
2020-10-02,4377,1161,3780,1012,0.26525017135023987,0.2677248677248677
2020-10-03,1781,561,1583,502,0.3149915777653004,0.31711939355653823
2020-10-04,749,282,637,243,0.376502002670227,0.3814756671899529
2020-10-05,3766,1299,3155,1096,0.34492830589484863,0.3473851030110935
2020-10-06,4477,1382,3942,1214,0.3086888541433996,0.30796549974632165
2020-10-07,4789,1371,4162,1203,0.2862810607642514,0.28904372897645364
2020-10-08,4492,1272,3944,1141,0.2831700801424755,0.2893002028397566
2020-10-09,4485,1297,3968,1170,0.28918617614269787,0.29485887096774194
2020-10-10,1601,484,1388,422,0.3023110555902561,0.30403458213256485
2020-10-11,861,286,737,261,0.3321718931475029,0.3541383989145183
2020-10-12,4503,1404,3838,1209,0.3117921385742838,0.3150078165711308
2020-10-13,5618,1745,4850,1471,0.31060875756496975,0.30329896907216497
2020-10-14,4991,1370,4369,1200,0.2744940893608495,0.2746623941405356
2020-10-15,4430,1410,3888,1261,0.3182844243792325,0.3243312757201646
2020-10-16,5512,1694,4883,1493,0.3073294629898404,0.3057546590210936
2020-10-17,2164,666,1922,592,0.3077634011090573,0.30801248699271594
2020-10-18,1121,373,974,309,0.3327386262265834,0.31724845995893225
2020-10-19,6628,2153,5962,1870,0.3248340374170187,0.31365313653136534
2020-10-20,7312,2234,6489,1973,0.30552516411378555,0.3040530127908769
2020-10-21,7120,1931,6277,1720,0.27120786516853934,0.27401624980086026
2020-10-22,7644,1941,6734,1713,0.25392464678178966,0.25438075438075436
2020-10-23,7308,1975,6506,1755,0.27025177887246854,0.2697509990777744
2020-10-24,2384,717,2102,623,0.30075503355704697,0.29638439581351095
2020-10-25,1556,491,1337,417,0.31555269922879176,0.3118922961854899
2020-10-26,7612,2249,6657,1944,0.29545454545454547,0.29202343397926994
2020-10-27,8187,2180,7270,1926,0.26627580310247956,0.26492434662998626
2020-10-28,8105,2147,7191,1937,0.264898210980876,0.2693644833820053
2020-10-29,7794,1869,6770,1601,0.23979984603541185,0.2364844903988183
